language,task,term,log_odds,ci_lo,ci_hi,p_value,headline,C_label_included,converged,class_n,class_errors,all_or_none
pl_pdb,upos,C(label)[T.DET],1.2701897421113493,1.1303939404875383,1.4099855437351603,6.09280803988888e-71,False,True,True,1796.0,538.0,False
pl_pdb,upos,C(label)[T.INTJ],1.9920419175808033,1.0101253806208208,2.973958454540786,7.001508532046163e-05,False,True,True,17.0,9.0,False
pl_pdb,upos,C(label)[T.NOUN],-1.3099294861984772,-1.4340515023768068,-1.1858074700201475,4.7668259173672786e-95,False,True,True,20672.0,520.0,False
pl_pdb,upos,C(label)[T.NUM],-0.6813017020042171,-1.0855111408807674,-0.2770922631276668,0.0009546834770740137,False,True,True,337.0,28.0,False
pl_pdb,upos,C(label)[T.PART],1.3900718408305066,1.2382714640720098,1.5418722175890034,4.988238348437178e-72,False,True,True,1390.0,441.0,False
pl_pdb,upos,C(label)[T.PRON],1.4145373186916996,1.285814211913131,1.5432604254702682,6.856039566910748e-103,False,True,True,6095.0,2118.0,False
pl_pdb,upos,C(label)[T.PROPN],-0.3524062998504372,-0.5604172020565881,-0.14439539764428633,0.0008985101264735729,False,True,True,1673.0,121.0,False
pl_pdb,upos,C(label)[T.PUNCT],-0.25275797019193696,-0.4612932316891043,-0.04422270869476966,0.017520409811724372,False,True,True,1235.0,159.0,False
pl_pdb,upos,C(label)[T.SCONJ],0.40803353251630003,0.1701353501068198,0.6459317149257803,0.0007747755045347813,False,True,True,590.0,101.0,False
pl_pdb,upos,C(label)[T.SYM],4.987596228626479,-4.368513080984504,14.343705538237462,0.2961032619189573,False,True,True,2.0,2.0,True
pl_pdb,upos,C(label)[T.VERB],-1.4554422056322074,-1.6273643715577566,-1.2835200397066582,7.899628313038084e-62,False,True,True,8859.0,180.0,False
pl_pdb,upos,C(label)[T.X],1.5726983810914592,1.2568875101029906,1.8885092520799278,1.6654006001311174e-22,False,True,True,181.0,95.0,False
pl_pdb,upos,z_n_subwords,-0.40783392733615725,-0.46373108835258625,-0.35193676631972826,2.1822497359480598e-46,True,True,True,,,
pl_pdb,upos,z_char_length,-0.44902614663712853,-0.5002709385048112,-0.3977813547694458,4.1617267203116864e-66,False,True,True,,,
pl_pdb,upos,z_log_freq,-0.3332380065676637,-0.3839078462813221,-0.2825681668540054,5.124043798466257e-38,False,True,True,,,
pl_pdb,number,Intercept,-3.440209478424521,-3.6037204944441936,-3.2766984624048487,0.0,False,True,True,,,
pl_pdb,number,C(label)[T.Sing],-1.4272276231984673,-1.682892160274664,-1.1715630861222706,7.3104559120858e-28,False,True,True,12330.0,99.0,False
pl_pdb,number,z_n_subwords,-0.11214754137173111,-0.283588075252318,0.05929299250885575,0.19980504526096055,True,True,True,,,
pl_pdb,number,z_char_length,-0.26906345045180324,-0.41654306242019545,-0.12158383848341103,0.0003491849829987958,False,True,True,,,
pl_pdb,number,z_log_freq,-0.0840051180161297,-0.23030960062584496,0.062299364593585566,0.2604313221023673,False,True,True,,,
