language,task,rank,lemma,n_test_occ,share_T,delta_acc_without,delta_f1_without,shift_acc,shift_f1,floor_label_without,floor_acc_without
it_isdt,upos,2,.,5376,0.10396642750778394,0.11751883107072714,0.16310497372076915,-0.02052290247662436,-0.014311375484925892,DET,0.22642608939632658
it_isdt,upos,3,di,5095,0.09853217041520819,0.145235337023212,0.17496601121874955,0.0071936034758605105,-0.0024503379869454944,DET,0.22422448191530442
it_isdt,upos,4,e,2954,0.057127385948287535,0.1154138037124397,0.1555093032220748,-0.022627929834911797,-0.021907045983620255,DET,0.21517793046866987
it_isdt,upos,5,in,1883,0.0364153242182212,0.1329426403885522,0.17576620792237052,-0.005099093158799306,-0.0016501412833245244,DET,0.2105527234777024
it_isdt,upos,6,per,1475,0.02852501498771974,0.14117928096508348,0.17869395310219793,0.0031375474177319784,0.001277603896502888,DET,0.20884261655452482
it_isdt,upos,7,?,1175,0.022723317024115723,0.1411327027347924,0.17958295205076613,0.003090969187440895,0.002166602845071086,DET,0.20760280207385126
it_isdt,upos,8,potere,594,0.01148736196793595,0.13884378362515892,0.19963118987793294,0.0008020500778074258,0.02221484067223789,DET,0.20524307933092048
it_isdt,upos,9,),579,0.011197277069755748,0.13878349305691373,0.1784666307375774,0.0007417595095622342,0.0010502815318823577,DET,0.2051828672012517
it_isdt,upos,10,o,555,0.010733141232667427,0.13824920827305776,0.17811845556290762,0.00020747472570625813,0.000702106357212573,DET,0.20508660124330452
it_isdt,number,1,parte,198,0.018018018018018018,0.004818830506903904,0.0055113439568053035,0.00017782586589920601,0.00017270682622994027,Sing,0.6805671392827356
it_isdt,number,2,articolo,194,0.017654017654017654,0.0005558128763316628,0.0006402514016914385,-0.004085191764673035,-0.004698385728883925,Sing,0.6805002315886984
it_isdt,number,3,legge,168,0.015288015288015287,0.0047130579428887875,0.005411042215472062,7.205330188408965e-05,7.240508489669839e-05,Sing,0.6829313372146751
it_isdt,number,4,opera,151,0.013741013741013742,0.004982469090238029,0.005769281816006222,0.00034146444923333075,0.00043064468543085876,Sing,0.6876730023989666
it_isdt,number,5,persona,150,0.01365001365001365,0.00470523110988097,0.005475971385134892,6.42264688762717e-05,0.00013733425455952908,Sing,0.6909308976842882
it_isdt,number,6,mondo,102,0.009282009282009281,0.004684486084320816,0.005362194772865481,4.348144331611792e-05,2.3557642290117364e-05,Sing,0.681087535592909
it_isdt,number,7,vita,90,0.00819000819000819,0.0046793283787502915,0.005360192369228356,3.832373774559361e-05,2.1555238652992692e-05,Sing,0.6815304156344619
it_isdt,number,8,punto,88,0.008008008008008008,0.00467846986514997,0.005380833706320587,3.74652241452722e-05,4.219657574522362e-05,Sing,0.6839739473442803
it_isdt,number,9,cittadino,83,0.007553007553007553,0.004676324958738376,0.005414742916754922,3.532031773367805e-05,7.610578617955888e-05,Sing,0.6879699248120301
it_isdt,number,10,donna,77,0.007007007007007007,0.004673753665689118,0.005399028239428616,3.274902468441976e-05,6.039110885325272e-05,Sing,0.6865835777126099
pl_pdb,upos,1,w,5117,0.07024889828530635,0.12499261709290654,0.2692374139957354,-0.009766653098331912,-0.013327121346866866,NOUN,0.30523891087354554
pl_pdb,upos,2,na,3123,0.042874205461210034,0.13315069279095781,0.2795703357667928,-0.0016085774002806419,-0.0029941995758094864,NOUN,0.2965087925643306
pl_pdb,upos,3,się,2938,0.040334427039716646,0.1344148319814601,0.2912155590113199,-0.0003444382097783638,0.008651023668717617,NOUN,0.295724074789351
pl_pdb,upos,4,z,2848,0.039098859158990126,0.12897003986112898,0.2732374743273167,-0.005789230330109474,-0.009327061015285576,NOUN,0.29534382009629534
pl_pdb,upos,5,być,2732,0.03750634944605374,0.11500663252934717,0.2630491922611782,-0.01975263766189128,-0.019515343081424108,NOUN,0.2947553095893537
pl_pdb,upos,6,on,2064,0.028335690064661384,0.11722734786724498,0.26439763865596666,-0.017531922323993476,-0.018166896686635625,NOUN,0.29204402560153725
pl_pdb,upos,7,do,1840,0.025260498894853173,0.13713891353642915,0.28290340293210303,0.002379643345190696,0.00033886758950074647,NOUN,0.29115082886156535
pl_pdb,upos,8,po,735,0.010090471025933197,0.13586941447313683,0.2827610345951964,0.0011101442818983731,0.00019649925259412893,NOUN,0.2866890411338862
pl_pdb,upos,9,rok,560,0.007687977924520531,0.1355819648316985,0.2825276485080681,0.000822694640460031,-3.688683453417774e-05,NOUN,0.27824739558113476
pl_pdb,upos,10,od,518,0.0071113795801814915,0.13236453133857828,0.2799408223595353,-0.002394738852660172,-0.0026237129830669614,NOUN,0.28582885112619777
pl_pdb,number,1,rok,430,0.025065578548528127,0.003766816143497831,0.004748475131667651,3.6125382786633686e-05,0.00010337163122053905,Sing,0.724304932735426
pl_pdb,number,2,mężczyzna,320,0.018653453803555816,0.00380160380160377,0.004723489811496395,7.091304089257289e-05,7.838631104928329e-05,Sing,0.7177309177309177
pl_pdb,number,3,osoba,260,0.0151559312153891,0.0037881029890500795,0.004788448099910636,5.7412228338882265e-05,0.00014334459946352407,Sing,0.7253625332938739
pl_pdb,number,4,czas,245,0.01428155056834742,0.003311649911295067,0.004100155724719778,-0.0004190408494161302,-0.0005449477757273335,Sing,0.7171496156120639
pl_pdb,number,5,sprawa,234,0.01364033809385019,0.0037822823710182973,0.004721026733098932,5.159161030710013e-05,7.592323265182e-05,Sing,0.7198156137344128
pl_pdb,number,6,ręka,201,0.011716700670358496,0.003656954111124211,0.004581100419901674,-7.373664958698622e-05,-6.400308054543835e-05,Sing,0.7224253863395069
pl_pdb,number,7,raz,173,0.010084523462547363,0.0037098103874690924,0.004601407046859407,-2.0880373242104788e-05,-4.369645358770491e-05,Sing,0.7170533506065245
pl_pdb,number,8,państwo,156,0.00909355872923346,0.0034707923995529466,0.004349222976229861,-0.0002598983611582506,-0.0002958805242172513,Sing,0.7208071063003706
pl_pdb,number,9,życie,152,0.008860390556689012,0.003705228489090162,0.004589723449519911,-2.5462271621035093e-05,-5.5380050927200664e-05,Sing,0.71622654825619
pl_pdb,number,10,chłopiec,152,0.008860390556689012,0.003764041639710669,0.004676972499366716,3.335087899947187e-05,3.186899891960415e-05,Sing,0.717814503322943
